Player Ali:
(coordinates recorded in cm precision)
  00:00:317: (x: 1602, y: 56)
  00:00:467: (x: 1619, y: 91)
  00:00:633: (x: 1618, y: 72)
  00:00:784: (x: 1630, y: 63)
  00:00:942: (x: 1630, y: 63)
  00:01:102: (x: 1637, y: 45)
  00:01:262: (x: 1578, y: 0)
  00:01:413: (x: 1584, y: -35)
  00:01:575: (x: 1578, y: -23)
  00:01:725: (x: 1585, y: 12)
  00:01:883: (x: 1619, y: 62)
  00:02:032: (x: 1619, y: 62)
  00:02:203: (x: 1585, y: 12)
  00:02:352: (x: 1592, y: 38)
  00:02:515: (x: 1613, y: 33)
  00:02:662: (x: 1508, y: -49)
  00:02:829: (x: 1600, y: 23)
  00:02:975: (x: 1600, y: 23)
  00:03:147: (x: 1615, y: 101)
  00:03:288: (x: 1645, y: 120)
  00:03:462: (x: 1694, y: 90)
  00:03:603: (x: 1659, y: 115)
  00:03:776: (x: 1576, y: 27)
  00:03:911: (x: 1608, y: 31)
  00:04:081: (x: 1552, y: -36)
  00:04:225: (x: 1552, y: -36)
  00:04:387: (x: 1635, y: 4)
  00:04:533: (x: 1599, y: 44)
  00:04:700: (x: 1589, y: 14)
  00:04:850: (x: 1556, y: -15)
  00:05:018: (x: 1622, y: 63)
  00:05:157: (x: 1622, y: 63)
  00:05:327: (x: 1657, y: 85)
  00:05:463: (x: 1607, y: 25)
  00:05:641: (x: 1569, y: 78)
  00:05:782: (x: 1668, y: 156)
  00:05:950: (x: 1573, y: 16)
  00:06:090: (x: 1617, y: 87)
  00:06:272: (x: 1585, y: 58)
  00:06:399: (x: 1585, y: 58)
  00:06:581: (x: 1586, y: 88)
  00:06:716: (x: 1608, y: 97)
  00:06:898: (x: 1607, y: 73)
  00:07:026: (x: 1628, y: 49)
  00:07:211: (x: 1700, y: 142)
  00:07:335: (x: 1700, y: 142)
  00:07:524: (x: 1608, y: 59)
  00:07:643: (x: 1595, y: 70)
  00:07:833: (x: 1592, y: 61)
  00:07:959: (x: 1625, y: 111)
  00:08:140: (x: 1608, y: 115)
  00:08:269: (x: 1608, y: 115)
  00:08:460: (x: 1603, y: 98)
  00:08:582: (x: 1571, y: 50)
  00:08:775: (x: 1586, y: 60)
  00:08:887: (x: 1582, y: 147)
  00:09:086: (x: 1633, y: 114)
  00:09:198: (x: 1611, y: 57)
  00:09:398: (x: 1628, y: 112)
  00:09:509: (x: 1628, y: 112)
  00:09:708: (x: 1629, y: 60)
  00:09:817: (x: 1553, y: 10)
  00:10:023: (x: 1530, y: 35)
  00:10:131: (x: 1567, y: 23)
  00:10:343: (x: 1570, y: 78)
  00:10:439: (x: 1570, y: 78)
  00:10:650: (x: 1543, y: -4)
  00:10:749: (x: 1543, y: -4)
  00:10:959: (x: 1546, y: 18)
  00:11:063: (x: 1624, y: 134)
  00:11:270: (x: 1607, y: 79)
  00:11:373: (x: 1607, y: 79)
  00:11:577: (x: 1596, y: 54)
  00:11:689: (x: 1596, y: 54)
  00:11:892: (x: 1624, y: 39)
  00:11:998: (x: 1623, y: 50)
  00:12:200: (x: 1616, y: 123)
  00:12:306: (x: 1616, y: 123)
  00:12:511: (x: 1618, y: 117)
  00:12:622: (x: 1618, y: 117)
  00:12:823: (x: 1585, y: 102)
  00:12:930: (x: 1603, y: 143)

Player Ahmed:
(coordinates recorded in cm precision)
  00:00:317: (x: 171, y: 808)
  00:00:467: (x: 171, y: 808)
  00:00:633: (x: 222, y: 839)
  00:00:784: (x: 114, y: 788)
  00:00:942: (x: 120, y: 853)
  00:01:102: (x: 147, y: 825)
  00:01:262: (x: 126, y: 822)
  00:01:413: (x: 133, y: 734)
  00:01:575: (x: 159, y: 749)
  00:01:725: (x: 159, y: 749)
  00:01:883: (x: 135, y: 885)
  00:02:032: (x: 105, y: 833)
  00:02:203: (x: 64, y: 793)
  00:02:352: (x: 16, y: 822)
  00:02:515: (x: 152, y: 877)
  00:02:662: (x: 152, y: 877)
  00:02:829: (x: 38, y: 880)
  00:02:975: (x: 120, y: 821)
  00:03:147: (x: 102, y: 834)
  00:03:288: (x: 157, y: 880)
  00:03:462: (x: 54, y: 784)
  00:03:603: (x: 88, y: 830)
  00:03:776: (x: 91, y: 745)
  00:03:911: (x: 91, y: 745)
  00:04:081: (x: 98, y: 806)
  00:04:225: (x: 46, y: 859)
  00:04:387: (x: 16, y: 845)
  00:04:533: (x: 112, y: 826)
  00:04:700: (x: 132, y: 807)
  00:04:850: (x: 132, y: 807)
  00:05:018: (x: 69, y: 831)
  00:05:157: (x: 2, y: 730)
  00:05:327: (x: 74, y: 823)
  00:05:463: (x: 45, y: 731)
  00:05:641: (x: -28, y: 818)
  00:05:782: (x: 91, y: 898)
  00:05:950: (x: 91, y: 898)
  00:06:090: (x: 127, y: 862)
  00:06:272: (x: 177, y: 833)
  00:06:399: (x: 186, y: 932)
  00:06:581: (x: 215, y: 832)
  00:06:716: (x: 144, y: 885)
  00:06:898: (x: 87, y: 790)
  00:07:026: (x: 87, y: 790)
  00:07:211: (x: -97, y: 747)
  00:07:335: (x: 119, y: 846)
  00:07:524: (x: 60, y: 787)
  00:07:643: (x: 166, y: 827)
  00:07:833: (x: 230, y: 808)
  00:07:959: (x: 230, y: 808)
  00:08:140: (x: 153, y: 846)
  00:08:269: (x: 135, y: 864)
  00:08:460: (x: 4, y: 833)
  00:08:582: (x: 150, y: 820)
  00:08:775: (x: 49, y: 797)
  00:08:887: (x: 49, y: 797)
  00:09:086: (x: 25, y: 727)
  00:09:198: (x: 25, y: 727)
  00:09:398: (x: 143, y: 816)
  00:09:509: (x: -125, y: 681)
  00:09:708: (x: -74, y: 762)
  00:09:817: (x: 45, y: 862)
  00:10:023: (x: -127, y: 726)
