Player Ali:
(coordinates recorded in cm precision)
  00:00:333: (x: 423, y: -1017)
  00:08:901: (x: 509, y: -1013)
  00:08:916: (x: 509, y: -1013)
  00:09:209: (x: 393, y: -958)
  00:09:223: (x: 393, y: -958)

Player Ahmed:
(coordinates recorded in cm precision)
  00:00:333: (x: -264, y: 943)
  00:00:466: (x: 52, y: 1151)
  00:00:650: (x: 59, y: 1190)
  00:00:779: (x: -3, y: 1137)
  00:00:965: (x: 15, y: 1124)
  00:01:084: (x: 15, y: 1124)
  00:01:280: (x: -295, y: 890)
  00:01:393: (x: 44, y: 1115)
  00:01:587: (x: -332, y: 911)
  00:01:705: (x: -272, y: 938)
  00:01:901: (x: -247, y: 961)
  00:02:014: (x: -247, y: 961)
  00:02:220: (x: -252, y: 960)
  00:02:491: (x: -333, y: 950)
  00:00:473: (x: -30, y: 1122)
  00:00:734: (x: 37, y: 1106)
  00:00:784: (x: 37, y: 1106)
  00:01:043: (x: 135, y: 1114)
  00:01:097: (x: 102, y: 1096)
  00:01:355: (x: -224, y: 972)
  00:01:416: (x: -301, y: 962)
  00:01:665: (x: 117, y: 1185)
  00:01:816: (x: 95, y: 1209)
  00:00:488: (x: -269, y: 980)
  00:00:743: (x: -310, y: 1016)
  00:00:796: (x: -310, y: 1016)
  00:01:050: (x: 72, y: 1180)
  00:01:105: (x: 13, y: 1241)
  00:01:365: (x: 73, y: 1182)
  00:01:413: (x: 73, y: 1182)
  00:01:680: (x: -146, y: 979)
  00:01:722: (x: -146, y: 979)
  00:01:997: (x: 67, y: 1125)
  00:02:042: (x: 67, y: 1125)
  00:02:312: (x: 140, y: 1218)
  00:02:355: (x: -389, y: 1045)
  00:02:627: (x: 139, y: 1203)
  00:02:669: (x: 139, y: 1203)
  00:02:935: (x: -246, y: 964)
  00:02:976: (x: -246, y: 964)
  00:03:245: (x: 170, y: 1139)
  00:03:292: (x: 170, y: 1139)
  00:03:555: (x: -325, y: 894)
  00:03:606: (x: -370, y: 928)
  00:03:867: (x: -286, y: 938)
  00:03:925: (x: -286, y: 938)
  00:04:181: (x: -313, y: 891)
  00:04:236: (x: -313, y: 891)
  00:04:490: (x: -31, y: 1145)
  00:04:547: (x: -279, y: 885)
  00:04:799: (x: -247, y: 961)
  00:04:856: (x: -247, y: 961)
  00:05:109: (x: 64, y: 1124)
  00:05:163: (x: 64, y: 1124)
  00:05:428: (x: -232, y: 938)
  00:05:471: (x: 374, y: 1369)
  00:05:736: (x: 112, y: 1100)
  00:05:791: (x: 112, y: 1100)
  00:06:050: (x: -32, y: 1141)
  00:06:105: (x: -32, y: 1141)
  00:06:366: (x: -261, y: 898)
  00:06:419: (x: -261, y: 898)
  00:06:680: (x: 126, y: 1210)
  00:06:726: (x: 45, y: 1076)
  00:06:999: (x: -294, y: 1052)
  00:07:036: (x: -294, y: 1052)
  00:07:314: (x: -115, y: 1212)
  00:07:356: (x: -115, y: 1212)
  00:07:626: (x: -303, y: 950)
  00:07:666: (x: -303, y: 950)
  00:07:935: (x: 34, y: 1129)
  00:07:978: (x: 34, y: 1129)
  00:08:274: (x: 111, y: 1117)
  00:08:295: (x: 111, y: 1117)
  00:08:587: (x: -212, y: 980)
  00:08:604: (x: -288, y: 962)
  00:08:901: (x: -257, y: 962)
  00:08:916: (x: -257, y: 962)
  00:09:209: (x: 74, y: 1225)
  00:09:223: (x: 74, y: 1225)
