Player Ali:
(coordinates recorded in cm precision)
  00:00:334: (x: 503, y: 1241)
  00:00:957: (x: 610, y: 1233)
  00:01:227: (x: 580, y: 1236)
  00:01:303: (x: 569, y: 1196)
  00:01:916: (x: 483, y: 1211)
  00:02:181: (x: 540, y: 1193)
  00:02:248: (x: 469, y: 1168)
  00:02:881: (x: 553, y: 1181)
  00:03:143: (x: 577, y: 1246)
  00:03:218: (x: 441, y: 1086)
  00:03:839: (x: 481, y: 1135)
  00:04:098: (x: 474, y: 1242)
  00:04:169: (x: 474, y: 1242)
  00:04:806: (x: 566, y: 1385)
  00:05:071: (x: 552, y: 1261)
  00:05:132: (x: 552, y: 1261)
  00:05:770: (x: 438, y: 1200)
  00:06:032: (x: 568, y: 1340)
  00:06:090: (x: 568, y: 1340)
  00:06:727: (x: 519, y: 1264)
  00:06:975: (x: 649, y: 1588)
  00:07:051: (x: 681, y: 1562)
  00:07:675: (x: 516, y: 1206)
  00:07:937: (x: 599, y: 1328)
  00:08:015: (x: 560, y: 1244)
  00:08:643: (x: 475, y: 1138)
  00:08:888: (x: 431, y: 1177)
  00:08:968: (x: 431, y: 1177)
  00:09:606: (x: 504, y: 1164)
  00:09:866: (x: 524, y: 1224)
  00:09:927: (x: 524, y: 1224)
  00:10:563: (x: 440, y: 1145)
  00:10:829: (x: 602, y: 1273)
  00:10:888: (x: 602, y: 1273)
  00:11:527: (x: 588, y: 1429)
  00:11:785: (x: 462, y: 1140)
  00:11:854: (x: 462, y: 1140)
  00:12:483: (x: 620, y: 1454)
  00:12:747: (x: 630, y: 1420)
  00:12:807: (x: 607, y: 1375)
  00:13:435: (x: 587, y: 1385)
  00:13:699: (x: 625, y: 1424)
  00:13:775: (x: 544, y: 1401)
  00:14:393: (x: 552, y: 1377)
  00:14:658: (x: 568, y: 1441)
  00:14:729: (x: 568, y: 1441)
  00:15:369: (x: 558, y: 1448)
  00:15:610: (x: 667, y: 1398)
  00:15:692: (x: 667, y: 1398)
  00:16:327: (x: 654, y: 1426)
  00:16:573: (x: 623, y: 1378)
  00:16:648: (x: 623, y: 1378)
  00:17:291: (x: 615, y: 1493)
  00:17:551: (x: 579, y: 1445)
  00:17:607: (x: 557, y: 1393)
  00:18:247: (x: 636, y: 1415)
  00:18:495: (x: 645, y: 1342)
  00:18:568: (x: 641, y: 1381)
  00:19:201: (x: 610, y: 1396)
  00:19:465: (x: 634, y: 1466)
  00:19:533: (x: 541, y: 1386)
  00:20:157: (x: 626, y: 1414)
  00:20:421: (x: 653, y: 1387)
  00:20:497: (x: 653, y: 1387)
  00:21:129: (x: 381, y: 961)
  00:21:389: (x: 576, y: 1382)
  00:21:448: (x: 576, y: 1382)
  00:22:090: (x: 471, y: 1154)
  00:22:329: (x: 452, y: 1098)
  00:22:409: (x: 452, y: 1098)
  00:23:046: (x: 541, y: 1244)
  00:23:292: (x: 468, y: 1196)
  00:23:380: (x: 530, y: 1223)
  00:24:000: (x: 499, y: 1156)
  00:24:262: (x: 504, y: 1212)
  00:24:330: (x: 490, y: 1172)
  00:24:962: (x: 560, y: 1207)
  00:25:225: (x: 496, y: 1191)
  00:25:287: (x: 496, y: 1191)
  00:25:925: (x: 521, y: 1210)
  00:26:191: (x: 545, y: 1208)
  00:26:249: (x: 545, y: 1208)
  00:26:882: (x: 453, y: 1233)
  00:27:145: (x: 483, y: 1146)
  00:27:209: (x: 550, y: 1213)
  00:27:847: (x: 509, y: 1154)
  00:28:097: (x: 523, y: 1253)
  00:28:176: (x: 569, y: 1208)
  00:28:791: (x: 548, y: 1213)
  00:29:060: (x: 606, y: 1281)
  00:29:128: (x: 606, y: 1281)
  00:29:773: (x: 510, y: 1228)
  00:30:039: (x: 475, y: 1247)
  00:30:094: (x: 475, y: 1247)
