Player Ali:
(coordinates recorded in cm precision)
  00:11:854: (x: 453, y: -656)
  00:12:017: (x: 485, y: -733)
  00:12:160: (x: 485, y: -733)
  00:12:331: (x: 438, y: -683)
  00:12:470: (x: 438, y: -683)
  00:12:640: (x: 438, y: -683)
  00:12:779: (x: 446, y: -702)
  00:12:958: (x: 446, y: -702)
  00:13:091: (x: 444, y: -627)
  00:13:267: (x: 444, y: -627)
  00:13:398: (x: 409, y: -673)
  00:13:582: (x: 409, y: -673)
  00:13:710: (x: 444, y: -697)
  00:13:902: (x: 444, y: -697)
  00:14:020: (x: 444, y: -697)
  00:14:224: (x: 518, y: -628)
  00:14:325: (x: 518, y: -628)
  00:14:542: (x: 485, y: -652)
  00:14:654: (x: 485, y: -652)
  00:14:852: (x: 515, y: -634)
