Player Ali:
(coordinates recorded in cm precision)
  00:00:331: (x: 1094, y: -1100)
  00:00:542: (x: 1094, y: -1100)
  00:00:650: (x: 1094, y: -1100)
  00:00:859: (x: 1094, y: -1100)
  00:00:961: (x: 1094, y: -1100)
  00:01:171: (x: 1094, y: -1100)
  00:01:278: (x: 1094, y: -1100)
  00:01:478: (x: 1094, y: -1100)
  00:01:586: (x: 1094, y: -1100)
  00:01:788: (x: 1094, y: -1100)
  00:01:898: (x: 1094, y: -1100)
  00:02:101: (x: 1094, y: -1100)
  00:02:223: (x: 1094, y: -1100)
  00:02:409: (x: 1094, y: -1100)
  00:02:528: (x: 1094, y: -1100)
  00:02:719: (x: 1094, y: -1100)
  00:02:842: (x: 1094, y: -1100)

Player Ahmed:
(coordinates recorded in cm precision)
  00:00:331: (x: 276, y: -625)
  00:00:542: (x: 276, y: -625)
  00:00:650: (x: 276, y: -625)
  00:00:859: (x: 276, y: -625)
  00:00:961: (x: 276, y: -625)
  00:01:171: (x: 276, y: -625)
  00:01:278: (x: 276, y: -625)
  00:01:478: (x: 276, y: -625)
  00:01:586: (x: 276, y: -625)
  00:01:788: (x: 276, y: -625)
  00:01:898: (x: 276, y: -625)
  00:02:101: (x: 276, y: -625)
  00:02:223: (x: 276, y: -625)
  00:02:409: (x: 276, y: -625)
  00:02:528: (x: 276, y: -625)
  00:02:719: (x: 276, y: -625)
  00:02:842: (x: 276, y: -625)
