Player Ali:
(coordinates recorded in cm precision)
  00:00:328: (x: 561, y: 1179)
  00:00:963: (x: 673, y: 1236)
  00:01:218: (x: 533, y: 1245)
  00:01:285: (x: 533, y: 1245)

Player Ahmed:
(coordinates recorded in cm precision)
  00:00:328: (x: 1043, y: 53)
  00:00:963: (x: 1042, y: 44)
  00:01:218: (x: 1054, y: 118)
  00:01:285: (x: 1054, y: 118)
  00:00:331: (x: 973, y: 33)
  00:00:954: (x: 1056, y: 51)
  00:01:221: (x: 992, y: 113)
  00:01:296: (x: 992, y: 113)
  00:01:918: (x: 983, y: 16)
  00:02:176: (x: 969, y: -47)
  00:02:248: (x: 969, y: -47)
  00:02:882: (x: 1083, y: 81)
  00:03:145: (x: 1022, y: 23)
  00:03:206: (x: 1022, y: 23)
  00:03:837: (x: 1000, y: 49)
  00:04:100: (x: 979, y: 70)
  00:04:180: (x: 979, y: 70)
  00:04:799: (x: 1040, y: 34)
  00:05:063: (x: 1059, y: 152)
  00:05:128: (x: 1029, y: 140)
  00:05:760: (x: 1009, y: 3)
  00:06:026: (x: 1019, y: 179)
  00:06:088: (x: 981, y: 133)
  00:06:728: (x: 1020, y: 64)
  00:06:989: (x: 998, y: 26)
  00:07:047: (x: 998, y: 26)
  00:07:687: (x: 992, y: 99)
  00:07:934: (x: 985, y: 50)
  00:08:007: (x: 985, y: 50)
  00:08:649: (x: 1070, y: 6)
  00:08:891: (x: 1040, y: 5)
  00:08:970: (x: 1040, y: 5)
  00:09:612: (x: 1038, y: 57)
  00:09:869: (x: 1001, y: 48)
  00:09:927: (x: 1001, y: 48)
  00:10:570: (x: 999, y: 0)
  00:10:818: (x: 1016, y: 89)
  00:10:888: (x: 1016, y: 89)
  00:11:531: (x: 994, y: 112)
  00:11:777: (x: 936, y: -12)
  00:11:849: (x: 936, y: -12)
  00:12:473: (x: 1032, y: 102)
  00:12:738: (x: 1034, y: -83)
  00:12:809: (x: 1072, y: 37)
  00:13:448: (x: 992, y: 8)
  00:13:695: (x: 959, y: 141)
  00:13:767: (x: 852, y: 102)
  00:14:409: (x: 1022, y: 33)
  00:14:655: (x: 939, y: 64)
  00:14:727: (x: 1016, y: -15)
  00:15:355: (x: 1095, y: 57)
  00:15:617: (x: 1023, y: 71)
  00:15:689: (x: 970, y: 23)
  00:16:315: (x: 968, y: 18)
  00:16:574: (x: 998, y: 46)
  00:16:647: (x: 976, y: 59)
  00:17:289: (x: 981, y: 54)
  00:17:555: (x: 972, y: 118)
  00:17:608: (x: 972, y: 118)
  00:18:242: (x: 964, y: -45)
  00:18:502: (x: 1000, y: 76)
  00:18:567: (x: 1047, y: 69)
  00:19:205: (x: 998, y: 86)
  00:19:463: (x: 967, y: 74)
  00:19:540: (x: 988, y: 72)
  00:20:160: (x: 969, y: 85)
  00:20:428: (x: 986, y: 59)
  00:20:490: (x: 1048, y: 101)
  00:21:122: (x: 1052, y: -64)
  00:21:387: (x: 1013, y: 12)
  00:21:459: (x: 1001, y: 174)
  00:22:076: (x: 925, y: 15)
  00:22:336: (x: 1000, y: 89)
  00:22:407: (x: 1000, y: 89)
  00:23:036: (x: 964, y: 83)
  00:23:300: (x: 957, y: 142)
  00:23:366: (x: 957, y: 142)
  00:23:996: (x: 1082, y: -50)
  00:24:256: (x: 890, y: 36)
  00:24:331: (x: 890, y: 36)
  00:24:958: (x: 953, y: 69)
  00:25:218: (x: 913, y: 46)
  00:25:287: (x: 913, y: 46)
  00:25:919: (x: 915, y: -21)
  00:26:181: (x: 864, y: -22)
  00:26:245: (x: 864, y: -22)
  00:26:881: (x: 884, y: 26)
  00:27:144: (x: 983, y: 23)
  00:27:463: (x: 1003, y: 60)
  00:27:526: (x: 1003, y: 60)
  00:28:164: (x: 1052, y: 119)
  00:28:426: (x: 1010, y: 17)
  00:28:489: (x: 1042, y: 90)
  00:29:122: (x: 997, y: 94)
  00:29:382: (x: 910, y: -35)
  00:29:454: (x: 928, y: -1)
  00:30:081: (x: 1028, y: 146)
  00:30:344: (x: 1046, y: -119)
  00:30:405: (x: 909, y: -53)
  00:31:041: (x: 1047, y: 133)
  00:31:302: (x: 938, y: -101)
  00:31:372: (x: 1000, y: -149)
  00:31:995: (x: 949, y: 50)
  00:32:259: (x: 865, y: -240)
  00:32:337: (x: 865, y: -240)
  00:32:952: (x: 1222, y: -445)
  00:33:215: (x: 1289, y: -540)
  00:33:292: (x: 1289, y: -540)
  00:33:926: (x: 1238, y: -493)
  00:34:173: (x: 1261, y: -452)
  00:34:249: (x: 1261, y: -452)
  00:34:883: (x: 1246, y: -420)
  00:35:143: (x: 1283, y: -365)
  00:35:206: (x: 1283, y: -365)
  00:35:845: (x: 1067, y: -530)
  00:36:104: (x: 1082, y: -369)
  00:36:174: (x: 1082, y: -369)
  00:36:805: (x: 1030, y: -229)
  00:37:064: (x: 1043, y: -290)
  00:37:137: (x: 1149, y: -534)
  00:37:760: (x: 988, y: -160)
  00:38:024: (x: 1299, y: -546)
  00:38:089: (x: 1036, y: -179)
  00:38:726: (x: 1231, y: -476)
  00:38:970: (x: 1125, y: -459)
  00:39:050: (x: 1316, y: -562)
  00:39:684: (x: 1223, y: -569)
  00:39:946: (x: 1337, y: -528)
  00:40:007: (x: 1337, y: -528)
  00:40:644: (x: 1301, y: -534)
  00:40:906: (x: 1187, y: -529)
  00:40:970: (x: 1187, y: -529)
  00:41:603: (x: 1206, y: -583)
  00:41:861: (x: 1242, y: -542)
  00:41:939: (x: 1242, y: -542)
  00:42:553: (x: 1199, y: -503)
  00:42:813: (x: 1246, y: -527)
  00:42:887: (x: 1246, y: -527)
  00:43:532: (x: 1268, y: -578)
  00:43:791: (x: 1255, y: -578)
  00:43:851: (x: 1255, y: -578)
  00:44:474: (x: 1288, y: -481)
  00:44:737: (x: 1266, y: -521)
  00:44:807: (x: 1261, y: -451)
  00:45:453: (x: 1138, y: -488)
  00:45:711: (x: 1278, y: -474)
  00:45:767: (x: 1218, y: -469)
  00:46:400: (x: 1228, y: -582)
  00:46:660: (x: 1303, y: -486)
  00:46:733: (x: 1344, y: -544)
  00:47:357: (x: 1229, y: -486)
  00:47:619: (x: 1313, y: -466)
  00:47:692: (x: 1291, y: -498)
  00:48:318: (x: 1253, y: -549)
  00:48:583: (x: 1259, y: -498)
  00:48:653: (x: 1259, y: -498)
  00:49:282: (x: 1294, y: -438)
  00:49:543: (x: 1161, y: -506)
  00:49:608: (x: 1161, y: -506)
  00:50:237: (x: 1199, y: -470)
  00:50:496: (x: 1348, y: -512)
  00:50:571: (x: 1348, y: -512)
  00:51:198: (x: 1280, y: -635)
  00:51:459: (x: 1179, y: -645)
  00:51:532: (x: 1179, y: -645)
  00:52:153: (x: 1075, y: -296)
  00:52:416: (x: 1252, y: -437)
  00:52:492: (x: 1252, y: -437)
  00:53:119: (x: 1214, y: -589)
  00:53:378: (x: 980, y: -182)
  00:53:448: (x: 980, y: -182)
  00:54:079: (x: 1199, y: -552)
  00:54:341: (x: 1206, y: -494)
  00:54:410: (x: 1206, y: -494)
  00:55:036: (x: 1209, y: -511)
  00:55:299: (x: 1210, y: -539)
  00:55:377: (x: 1254, y: -516)
  00:56:005: (x: 1286, y: -511)
  00:56:269: (x: 1280, y: -521)
  00:56:328: (x: 1280, y: -521)
  00:56:965: (x: 1261, y: -487)
  00:57:229: (x: 1256, y: -553)
  00:57:290: (x: 1256, y: -553)
  00:57:924: (x: 1283, y: -530)
  00:58:184: (x: 1258, y: -493)
  00:58:247: (x: 1258, y: -493)
  00:58:884: (x: 1298, y: -431)
  00:59:144: (x: 1268, y: -512)
  00:59:208: (x: 1236, y: -545)
  00:59:844: (x: 1269, y: -528)
  01:00:102: (x: 1269, y: -528)
  01:00:166: (x: 1224, y: -575)
  01:00:798: (x: 1255, y: -512)
  01:01:067: (x: 1276, y: -536)
  01:01:128: (x: 1276, y: -536)
  01:01:762: (x: 1244, y: -537)
  01:02:025: (x: 1284, y: -563)
  01:02:096: (x: 1284, y: -563)
  01:02:715: (x: 1305, y: -522)
  01:02:977: (x: 1275, y: -516)
  01:03:047: (x: 1275, y: -516)
  01:03:684: (x: 1271, y: -512)
  01:03:935: (x: 1265, y: -581)
  01:04:014: (x: 1327, y: -566)
  01:04:639: (x: 1281, y: -577)
