Player Ali:
(coordinates recorded in cm precision)
  00:00:340: (x: 963, y: 198)
  00:00:954: (x: 890, y: 63)
  00:01:216: (x: 887, y: 130)
  00:01:289: (x: 887, y: 130)
  00:01:926: (x: 869, y: 21)
  00:02:172: (x: 901, y: 231)
  00:02:261: (x: 901, y: 231)
  00:02:880: (x: 969, y: 273)
  00:03:141: (x: 904, y: 214)
  00:03:208: (x: 904, y: 214)
  00:03:849: (x: 856, y: 4)
  00:04:110: (x: 1003, y: 209)
  00:04:174: (x: 879, y: 8)
  00:04:808: (x: 925, y: 216)
  00:05:055: (x: 906, y: 98)
  00:05:128: (x: 865, y: 5)
  00:05:758: (x: 837, y: 107)
  00:06:019: (x: 868, y: 34)
  00:06:093: (x: 868, y: 34)
  00:06:725: (x: 827, y: 157)
  00:06:981: (x: 994, y: 266)
  00:07:052: (x: 878, y: 26)
  00:07:695: (x: 858, y: 310)
  00:07:948: (x: 876, y: 35)
  00:08:009: (x: 876, y: 35)
  00:08:637: (x: 868, y: 75)
  00:08:904: (x: 958, y: 278)
  00:08:974: (x: 958, y: 278)
  00:09:610: (x: 876, y: 35)
  00:09:864: (x: 935, y: 198)
  00:09:930: (x: 830, y: -253)
  00:10:569: (x: 902, y: -79)
  00:10:828: (x: 1067, y: 259)
  00:10:890: (x: 1067, y: 259)
  00:11:532: (x: 1037, y: 229)
  00:11:778: (x: 876, y: 75)
  00:11:860: (x: 876, y: 75)
  00:12:493: (x: 823, y: 46)
  00:12:737: (x: 980, y: 323)
  00:12:817: (x: 980, y: 323)
  00:13:434: (x: 830, y: 133)
  00:13:699: (x: 855, y: 166)
  00:13:771: (x: 884, y: 149)
  00:14:419: (x: 775, y: 176)
  00:14:653: (x: 933, y: 371)
  00:14:731: (x: 746, y: 92)
  00:15:361: (x: 908, y: 286)
  00:15:612: (x: 665, y: -57)
  00:15:697: (x: 665, y: -57)
  00:16:326: (x: 901, y: 283)
  00:16:574: (x: 914, y: 299)
  00:16:662: (x: 914, y: 299)
  00:17:280: (x: 916, y: 355)
  00:17:542: (x: 811, y: 56)
  00:17:607: (x: 807, y: 187)
  00:18:244: (x: 837, y: 82)
  00:18:513: (x: 777, y: 92)
  00:18:577: (x: 777, y: 92)
  00:19:210: (x: 678, y: -20)
  00:19:475: (x: 606, y: 245)
  00:19:531: (x: 606, y: 245)
  00:20:172: (x: 851, y: 144)
  00:20:418: (x: 865, y: 87)
  00:20:494: (x: 865, y: 87)
  00:21:134: (x: 596, y: -139)
  00:21:385: (x: 808, y: 1)
  00:21:463: (x: 894, y: 274)
  00:22:081: (x: 886, y: 277)
  00:22:342: (x: 743, y: 85)
  00:22:412: (x: 743, y: 85)
  00:23:044: (x: 741, y: 201)
  00:23:301: (x: 792, y: 150)
  00:23:377: (x: 792, y: 150)
  00:24:006: (x: 885, y: 255)
  00:24:254: (x: 824, y: 53)
  00:24:337: (x: 782, y: 9)
  00:24:976: (x: 843, y: 266)
  00:25:219: (x: 766, y: 134)
  00:25:291: (x: 766, y: 134)
  00:25:927: (x: 612, y: -113)
  00:26:179: (x: 923, y: 403)
  00:26:260: (x: 923, y: 403)
  00:26:893: (x: 643, y: -29)
  00:27:142: (x: 599, y: -59)
  00:27:218: (x: 872, y: 307)
  00:27:843: (x: 837, y: 283)
  00:28:092: (x: 615, y: -39)
  00:28:177: (x: 668, y: -28)
  00:28:804: (x: 687, y: -17)
  00:29:050: (x: 677, y: -34)
  00:29:138: (x: 677, y: -34)
  00:29:763: (x: 589, y: 22)
  00:30:014: (x: 793, y: 98)
  00:30:095: (x: 787, y: 113)
  00:30:727: (x: 625, y: -171)
  00:30:985: (x: 645, y: -199)
  00:31:051: (x: 575, y: -89)
  00:31:688: (x: 872, y: 329)
  00:31:941: (x: 699, y: -27)
  00:32:019: (x: 699, y: -27)
  00:32:643: (x: 792, y: -136)
  00:32:911: (x: 788, y: -57)
  00:32:976: (x: 788, y: -57)
  00:33:593: (x: 1038, y: 324)
  00:33:856: (x: 945, y: 311)
  00:33:935: (x: 929, y: 329)
  00:34:559: (x: 837, y: 36)
  00:34:808: (x: 837, y: 37)
  00:34:902: (x: 837, y: 37)
  00:35:526: (x: 831, y: -11)
  00:35:784: (x: 838, y: 112)
  00:35:859: (x: 717, y: -142)
  00:36:485: (x: 876, y: 18)
  00:36:740: (x: 713, y: -274)
  00:36:821: (x: 664, y: -238)
  00:37:445: (x: 725, y: -236)
  00:37:704: (x: 804, y: 55)
  00:37:780: (x: 804, y: 55)
  00:38:398: (x: 644, y: 17)
  00:38:667: (x: 702, y: 61)
  00:38:743: (x: 953, y: 330)
  00:39:369: (x: 921, y: 338)
  00:39:619: (x: 554, y: -36)
  00:39:690: (x: 948, y: 363)
  00:40:330: (x: 818, y: 167)
  00:40:585: (x: 756, y: 103)
  00:40:658: (x: 756, y: 103)
  00:41:278: (x: 902, y: 0)

Player Ahmed:
(coordinates recorded in cm precision)
  00:00:340: (x: 636, y: -1531)
  00:00:954: (x: 584, y: -1520)
  00:01:216: (x: 428, y: -1535)
  00:01:289: (x: 538, y: -1485)
  00:01:926: (x: 471, y: -1282)
  00:02:172: (x: 670, y: -1500)
  00:02:261: (x: 670, y: -1500)
  00:02:880: (x: 667, y: -1534)
  00:03:141: (x: 737, y: -1488)
  00:03:208: (x: 737, y: -1488)
  00:03:849: (x: 584, y: -1544)
  00:04:110: (x: 582, y: -1539)
  00:04:174: (x: 582, y: -1539)
  00:04:808: (x: 612, y: -1509)
  00:05:055: (x: 616, y: -1507)
  00:05:128: (x: 587, y: -1481)
  00:05:758: (x: 463, y: -1573)
  00:06:019: (x: 80, y: -1341)
  00:06:093: (x: 80, y: -1341)
  00:06:725: (x: 201, y: -1046)
  00:06:981: (x: 153, y: -974)
  00:07:052: (x: 153, y: -974)
  00:07:695: (x: -281, y: -819)
  00:07:948: (x: -70, y: -645)
  00:08:009: (x: 145, y: -586)
  00:08:637: (x: 69, y: -316)
  00:08:904: (x: -45, y: 185)
  00:08:974: (x: -45, y: 185)
  00:09:610: (x: -260, y: 694)
  00:09:864: (x: 20, y: 985)
  00:09:930: (x: 20, y: 985)
  00:10:569: (x: 484, y: 1366)
  00:10:828: (x: 391, y: 1321)
  00:10:890: (x: 347, y: 1276)
  00:11:532: (x: 484, y: 1273)
  00:11:778: (x: 337, y: 1060)
  00:11:860: (x: 524, y: 1278)
  00:12:493: (x: 452, y: 1260)
  00:12:737: (x: 489, y: 1290)
  00:12:817: (x: 489, y: 1290)
  00:13:434: (x: 516, y: 1275)
  00:13:699: (x: 432, y: 1262)
  00:13:771: (x: 432, y: 1262)
  00:14:419: (x: 416, y: 1243)
  00:14:653: (x: 510, y: 1275)
  00:14:731: (x: 500, y: 1255)
  00:15:361: (x: 497, y: 1287)
  00:15:612: (x: 544, y: 1275)
  00:15:697: (x: 458, y: 1268)
  00:16:326: (x: 435, y: 1307)
  00:16:574: (x: 473, y: 1309)
  00:16:662: (x: 473, y: 1309)
  00:17:280: (x: 471, y: 1239)
  00:17:542: (x: 539, y: 1340)
  00:17:607: (x: 539, y: 1340)
  00:18:244: (x: 443, y: 1227)
  00:18:513: (x: 509, y: 1280)
  00:18:577: (x: 494, y: 1278)
  00:19:210: (x: 499, y: 1334)
  00:19:475: (x: 539, y: 1093)
  00:19:531: (x: 539, y: 1093)
