Player Ali:
(coordinates recorded in cm precision)
  00:00:319: (x: -332, y: -1263)
  00:00:462: (x: -332, y: -1263)
  00:00:635: (x: -379, y: -1144)
  00:00:769: (x: -379, y: -1144)
  00:00:946: (x: -518, y: -1131)
  00:01:088: (x: -518, y: -1131)
  00:01:258: (x: -518, y: -1131)
  00:01:407: (x: -346, y: -978)
  00:01:571: (x: -346, y: -978)
  00:01:715: (x: -346, y: -978)
  00:01:884: (x: -524, y: -1170)
  00:02:027: (x: -524, y: -1170)
  00:02:201: (x: -524, y: -1170)
  00:02:336: (x: -533, y: -1060)
  00:02:512: (x: -533, y: -1060)
  00:02:648: (x: -533, y: -1060)
  00:02:822: (x: -478, y: -1165)
  00:02:964: (x: -478, y: -1165)
  00:03:136: (x: -478, y: -1165)
  00:03:285: (x: -417, y: -1184)
  00:03:443: (x: -417, y: -1184)
  00:03:607: (x: -417, y: -1184)
  00:03:760: (x: -463, y: -1103)
  00:03:913: (x: -463, y: -1103)
  00:04:069: (x: -320, y: -1245)
  00:04:226: (x: -320, y: -1245)
  00:04:388: (x: -320, y: -1245)
  00:04:539: (x: -130, y: -1402)
  00:04:698: (x: -130, y: -1402)
  00:04:858: (x: -130, y: -1402)
  00:05:018: (x: -306, y: -1261)
  00:05:175: (x: -306, y: -1261)
  00:05:358: (x: -306, y: -1261)
  00:05:488: (x: -373, y: -1230)
  00:05:681: (x: -373, y: -1230)
  00:05:804: (x: -373, y: -1230)
  00:05:992: (x: -263, y: -1251)
  00:06:119: (x: -263, y: -1251)
  00:06:304: (x: -263, y: -1251)
  00:06:434: (x: -455, y: -1190)
  00:06:623: (x: -455, y: -1190)
  00:06:745: (x: -455, y: -1190)
  00:06:941: (x: -380, y: -1252)
  00:07:051: (x: -380, y: -1252)
  00:07:262: (x: -384, y: -1161)
  00:07:363: (x: -384, y: -1161)
  00:07:577: (x: -384, y: -1161)
  00:07:675: (x: -384, y: -1161)
  00:07:883: (x: -294, y: -1348)
  00:07:984: (x: -294, y: -1348)
  00:08:191: (x: -285, y: -1286)
  00:08:294: (x: -285, y: -1286)
  00:08:507: (x: -285, y: -1286)
  00:08:603: (x: -348, y: -1257)
  00:08:824: (x: -348, y: -1257)
  00:08:915: (x: -348, y: -1257)
  00:09:138: (x: -267, y: -1297)
  00:09:222: (x: -267, y: -1297)
  00:09:445: (x: -267, y: -1297)
  00:09:543: (x: -330, y: -1285)
  00:09:762: (x: -330, y: -1285)
  00:09:857: (x: -330, y: -1285)
  00:10:073: (x: -317, y: -1267)
  00:10:169: (x: -317, y: -1267)
  00:10:383: (x: -293, y: -1287)
  00:10:485: (x: -293, y: -1287)
  00:10:697: (x: -293, y: -1287)
  00:10:793: (x: -293, y: -1287)
  00:11:005: (x: -348, y: -1274)
  00:11:107: (x: -348, y: -1274)
  00:11:319: (x: -359, y: -1289)
  00:11:424: (x: -359, y: -1289)
  00:11:627: (x: -359, y: -1289)
  00:11:735: (x: -297, y: -1262)
  00:11:942: (x: -297, y: -1262)
  00:12:054: (x: -297, y: -1262)
  00:12:259: (x: -162, y: -1305)
  00:12:374: (x: -162, y: -1305)
  00:12:574: (x: -284, y: -1312)
  00:12:688: (x: -284, y: -1312)
  00:12:892: (x: -284, y: -1312)
  00:13:001: (x: -136, y: -1340)
  00:13:197: (x: -136, y: -1340)
  00:13:320: (x: -136, y: -1340)
  00:13:509: (x: -301, y: -1302)
  00:13:634: (x: -301, y: -1302)
  00:13:814: (x: -301, y: -1302)
  00:13:950: (x: -192, y: -1351)
  00:14:125: (x: -192, y: -1351)
  00:14:288: (x: -192, y: -1351)
  00:14:443: (x: -132, y: -1333)
  00:14:608: (x: -132, y: -1333)
  00:14:754: (x: -132, y: -1333)
  00:14:928: (x: -321, y: -1295)
  00:15:067: (x: -321, y: -1295)
  00:15:243: (x: -408, y: -1231)
  00:15:385: (x: -408, y: -1231)
  00:15:557: (x: -408, y: -1231)
  00:15:693: (x: -311, y: -1275)
  00:15:873: (x: -311, y: -1275)
  00:16:006: (x: -311, y: -1275)
  00:16:185: (x: -374, y: -1241)
  00:16:312: (x: -374, y: -1241)
  00:16:506: (x: -374, y: -1241)
  00:16:632: (x: -315, y: -1271)
  00:16:817: (x: -315, y: -1271)
  00:16:948: (x: -315, y: -1271)
  00:17:134: (x: -557, y: -1198)
  00:17:259: (x: -557, y: -1198)
  00:17:451: (x: -557, y: -1198)
  00:17:567: (x: -552, y: -1119)
  00:17:767: (x: -552, y: -1119)
  00:17:875: (x: -552, y: -1119)
  00:18:073: (x: -594, y: -1125)
  00:18:184: (x: -594, y: -1125)
  00:18:387: (x: -594, y: -1125)
  00:18:493: (x: -454, y: -1199)
  00:18:698: (x: -454, y: -1199)
  00:18:806: (x: -454, y: -1199)
  00:19:011: (x: -312, y: -1286)
  00:19:114: (x: -312, y: -1286)
  00:19:322: (x: -231, y: -1287)
  00:19:432: (x: -231, y: -1287)
  00:19:638: (x: -231, y: -1287)
  00:19:748: (x: -434, y: -1211)
  00:19:945: (x: -434, y: -1211)
  00:20:058: (x: -434, y: -1211)
  00:20:259: (x: -369, y: -1236)
  00:20:364: (x: -369, y: -1236)
  00:20:579: (x: -369, y: -1236)
  00:20:669: (x: -381, y: -1226)
  00:20:897: (x: -381, y: -1226)
  00:20:985: (x: -381, y: -1226)
  00:21:205: (x: -399, y: -1238)
  00:21:306: (x: -399, y: -1238)
  00:21:512: (x: -399, y: -1238)
  00:21:624: (x: -456, y: -1219)
  00:21:821: (x: -456, y: -1219)
  00:21:932: (x: -456, y: -1219)
  00:22:130: (x: -474, y: -1220)
  00:22:253: (x: -474, y: -1220)
  00:22:449: (x: -459, y: -1176)
  00:22:560: (x: -459, y: -1176)
  00:22:763: (x: -459, y: -1176)
  00:22:874: (x: -283, y: -1229)
  00:23:073: (x: -283, y: -1229)
  00:23:185: (x: -283, y: -1229)
  00:23:385: (x: -289, y: -1269)
  00:23:496: (x: -289, y: -1269)
  00:23:702: (x: -289, y: -1269)
  00:23:814: (x: -272, y: -1327)
  00:24:011: (x: -272, y: -1327)
  00:24:133: (x: -272, y: -1327)
  00:24:323: (x: -256, y: -1297)
  00:24:455: (x: -256, y: -1297)
  00:24:636: (x: -256, y: -1297)
  00:24:770: (x: -230, y: -1318)
  00:24:947: (x: -230, y: -1318)
  00:25:078: (x: -230, y: -1318)
  00:25:254: (x: -255, y: -1307)
  00:25:389: (x: -255, y: -1307)
  00:25:570: (x: -298, y: -1288)
  00:25:701: (x: -298, y: -1288)
  00:25:884: (x: -298, y: -1288)
  00:26:011: (x: -327, y: -1247)
  00:26:193: (x: -327, y: -1247)
  00:26:317: (x: -327, y: -1247)
  00:26:506: (x: -373, y: -1218)
  00:26:633: (x: -373, y: -1218)
  00:26:829: (x: -373, y: -1218)
  00:26:941: (x: -283, y: -1281)
  00:27:141: (x: -283, y: -1281)
  00:27:248: (x: -283, y: -1281)
  00:27:460: (x: -315, y: -1269)
  00:27:556: (x: -315, y: -1269)
  00:27:771: (x: -315, y: -1269)
  00:27:871: (x: -266, y: -1322)
  00:28:079: (x: -266, y: -1322)
  00:28:191: (x: -266, y: -1322)
  00:28:398: (x: -274, y: -1302)
  00:28:511: (x: -274, y: -1302)
  00:28:705: (x: -355, y: -1266)
  00:28:825: (x: -355, y: -1266)
  00:29:022: (x: -355, y: -1266)
  00:29:135: (x: -306, y: -1261)
  00:29:330: (x: -306, y: -1261)
  00:29:456: (x: -306, y: -1261)
  00:29:646: (x: -292, y: -1272)
  00:29:763: (x: -292, y: -1272)
  00:29:958: (x: -292, y: -1272)
  00:30:077: (x: -429, y: -1194)

Player Ahmed:
(coordinates recorded in cm precision)
  00:00:319: (x: 486, y: -728)
  00:00:462: (x: 486, y: -728)
  00:00:635: (x: 640, y: -957)
  00:00:769: (x: 640, y: -957)
  00:00:946: (x: 640, y: -957)
  00:01:088: (x: 298, y: -1083)
  00:01:258: (x: 298, y: -1083)
  00:01:407: (x: 298, y: -1083)
  00:01:571: (x: 666, y: -790)
  00:01:715: (x: 666, y: -790)
  00:01:884: (x: 666, y: -790)
  00:02:027: (x: 840, y: -1282)
  00:02:201: (x: 840, y: -1282)
  00:02:336: (x: 840, y: -1282)
  00:02:512: (x: 1031, y: -667)
  00:02:648: (x: 1031, y: -667)
  00:02:822: (x: 687, y: -581)
  00:02:964: (x: 687, y: -581)
  00:03:136: (x: 687, y: -581)
  00:03:285: (x: 639, y: -382)
  00:03:443: (x: 639, y: -382)
  00:03:607: (x: 639, y: -382)
  00:03:760: (x: 629, y: -636)
  00:03:913: (x: 629, y: -636)
  00:04:069: (x: 629, y: -636)
  00:04:226: (x: 1167, y: 51)
  00:04:388: (x: 1167, y: 51)
  00:04:539: (x: 1167, y: 51)
  00:04:698: (x: 667, y: -386)
  00:04:858: (x: 667, y: -386)
  00:05:018: (x: 667, y: -386)
  00:05:175: (x: 1327, y: -51)
  00:05:358: (x: 1327, y: -51)
  00:05:488: (x: 1327, y: -51)
  00:05:681: (x: 680, y: -541)
  00:05:804: (x: 680, y: -541)
  00:05:992: (x: 941, y: -462)
  00:06:119: (x: 941, y: -462)
  00:06:304: (x: 941, y: -462)
  00:06:434: (x: 637, y: -556)
  00:06:623: (x: 637, y: -556)
  00:06:745: (x: 637, y: -556)
  00:06:941: (x: 667, y: -464)
  00:07:051: (x: 667, y: -464)
  00:07:262: (x: 667, y: -464)
  00:07:363: (x: 691, y: -532)
  00:07:577: (x: 691, y: -532)
  00:07:675: (x: 691, y: -532)
  00:07:883: (x: 672, y: -209)
  00:07:984: (x: 672, y: -209)
  00:08:191: (x: 672, y: -209)
  00:08:294: (x: 295, y: -237)
  00:08:507: (x: 295, y: -237)
  00:08:603: (x: 295, y: -237)
  00:08:824: (x: 346, y: -388)
  00:08:915: (x: 346, y: -388)
  00:09:138: (x: 305, y: -484)
  00:09:222: (x: 305, y: -484)
  00:09:445: (x: 305, y: -484)
  00:09:543: (x: 250, y: -401)
  00:09:762: (x: 250, y: -401)
  00:09:857: (x: 250, y: -401)
  00:10:073: (x: 321, y: -314)
  00:10:169: (x: 321, y: -314)
  00:10:383: (x: 321, y: -314)
  00:10:485: (x: 305, y: -425)
  00:10:697: (x: 305, y: -425)
  00:10:793: (x: 305, y: -425)
  00:11:005: (x: 395, y: -239)
  00:11:107: (x: 395, y: -239)
  00:11:319: (x: 395, y: -239)
  00:11:424: (x: 260, y: -287)
  00:11:627: (x: 260, y: -287)
  00:11:735: (x: 260, y: -287)
  00:11:942: (x: 442, y: -522)
  00:12:054: (x: 442, y: -522)
  00:12:259: (x: 419, y: -453)
  00:12:374: (x: 419, y: -453)
  00:12:574: (x: 419, y: -453)
  00:12:688: (x: 444, y: -382)
  00:12:892: (x: 444, y: -382)
  00:13:001: (x: 444, y: -382)
  00:13:197: (x: 287, y: -377)
  00:13:320: (x: 287, y: -377)
  00:13:509: (x: 329, y: -388)
  00:13:634: (x: 329, y: -388)
  00:13:814: (x: 329, y: -388)
  00:13:950: (x: 317, y: -338)
  00:14:125: (x: 317, y: -338)
  00:14:288: (x: 317, y: -338)
  00:14:443: (x: 351, y: -359)
  00:14:608: (x: 351, y: -359)
  00:14:754: (x: 351, y: -359)
  00:14:928: (x: 341, y: -413)
  00:15:067: (x: 341, y: -413)
  00:15:243: (x: 341, y: -413)
  00:15:385: (x: 302, y: -428)
  00:15:557: (x: 302, y: -428)
  00:15:693: (x: 302, y: -428)
  00:15:873: (x: 335, y: -397)
  00:16:006: (x: 335, y: -397)
  00:16:185: (x: 529, y: -229)
  00:16:312: (x: 529, y: -229)
  00:16:506: (x: 529, y: -229)
  00:16:632: (x: 529, y: -229)
  00:16:817: (x: 663, y: -232)
  00:16:948: (x: 663, y: -232)
  00:17:134: (x: 908, y: -433)
  00:17:259: (x: 908, y: -433)
  00:17:451: (x: 908, y: -433)
  00:17:567: (x: 556, y: -528)
  00:17:767: (x: 556, y: -528)
  00:17:875: (x: 556, y: -528)
  00:18:073: (x: 705, y: -332)
  00:18:184: (x: 705, y: -332)
  00:18:387: (x: 705, y: -332)
  00:18:493: (x: 384, y: -256)
  00:18:698: (x: 384, y: -256)
  00:18:806: (x: 384, y: -256)
  00:19:011: (x: 370, y: -356)
  00:19:114: (x: 370, y: -356)
  00:19:322: (x: 370, y: -356)
  00:19:432: (x: 357, y: -347)
  00:19:638: (x: 357, y: -347)
  00:19:748: (x: 357, y: -347)
  00:19:945: (x: 523, y: -420)
  00:20:058: (x: 523, y: -420)
  00:20:259: (x: 401, y: -470)
  00:20:364: (x: 401, y: -470)
  00:20:579: (x: 401, y: -470)
  00:20:669: (x: 401, y: -470)
  00:20:897: (x: 484, y: -372)
  00:20:985: (x: 484, y: -372)
  00:21:205: (x: 451, y: -495)
  00:21:306: (x: 451, y: -495)
  00:21:512: (x: 451, y: -495)
  00:21:624: (x: 423, y: -495)
  00:21:821: (x: 423, y: -495)
  00:21:932: (x: 423, y: -495)
  00:22:130: (x: 412, y: -424)
  00:22:253: (x: 412, y: -424)
  00:22:449: (x: 412, y: -424)
  00:22:560: (x: 473, y: -386)
  00:22:763: (x: 473, y: -386)
  00:22:874: (x: 473, y: -386)
  00:23:073: (x: 473, y: -455)
  00:23:185: (x: 473, y: -455)
  00:23:385: (x: 348, y: -451)
  00:23:496: (x: 348, y: -451)
  00:23:702: (x: 348, y: -451)
  00:23:814: (x: 354, y: -420)
  00:24:011: (x: 354, y: -420)
  00:24:133: (x: 354, y: -420)
  00:24:323: (x: 339, y: -403)
  00:24:455: (x: 339, y: -403)
  00:24:636: (x: 339, y: -403)
  00:24:770: (x: 310, y: -497)
  00:24:947: (x: 310, y: -497)
  00:25:078: (x: 310, y: -497)
  00:25:254: (x: 338, y: -444)
  00:25:389: (x: 338, y: -444)
  00:25:570: (x: 338, y: -444)
  00:25:701: (x: 326, y: -466)
  00:25:884: (x: 326, y: -466)
  00:26:011: (x: 326, y: -466)
  00:26:193: (x: 379, y: -399)
  00:26:317: (x: 379, y: -399)
  00:26:506: (x: 352, y: -384)
  00:26:633: (x: 352, y: -384)
  00:26:829: (x: 352, y: -384)
  00:26:941: (x: 348, y: -449)
  00:27:141: (x: 348, y: -449)
  00:27:248: (x: 348, y: -449)
  00:27:460: (x: 377, y: -385)
  00:27:556: (x: 377, y: -385)
  00:27:771: (x: 377, y: -385)
  00:27:871: (x: 427, y: -363)
  00:28:079: (x: 427, y: -363)
  00:28:191: (x: 427, y: -363)
  00:28:398: (x: 388, y: -441)
  00:28:511: (x: 388, y: -441)
  00:28:705: (x: 388, y: -441)
  00:28:825: (x: 398, y: -441)
  00:29:022: (x: 398, y: -441)
  00:29:135: (x: 398, y: -441)
  00:29:330: (x: 389, y: -403)
  00:29:456: (x: 389, y: -403)
  00:29:646: (x: 249, y: -392)
  00:29:763: (x: 249, y: -392)
  00:29:958: (x: 249, y: -392)
  00:30:077: (x: 395, y: -486)
