Player Ali:
(coordinates recorded in cm precision)
  00:30:761: (x: -403, y: -1123)
  00:30:999: (x: -403, y: -1123)
  00:31:067: (x: -403, y: -1123)
  00:31:382: (x: -333, y: -1246)
  00:31:621: (x: -333, y: -1246)
  00:31:697: (x: -444, y: -1132)
  00:31:935: (x: -444, y: -1132)
  00:32:011: (x: -444, y: -1132)
  00:32:247: (x: -447, y: -1142)
  00:32:322: (x: -447, y: -1142)
  00:32:635: (x: -541, y: -1162)
  00:32:872: (x: -541, y: -1162)
  00:32:942: (x: -541, y: -1162)
  00:33:182: (x: -500, y: -1201)
  00:33:255: (x: -500, y: -1201)
  00:33:487: (x: -479, y: -1256)
  00:33:573: (x: -479, y: -1256)
  00:33:882: (x: -479, y: -1256)
  00:34:122: (x: -510, y: -1200)
  00:34:193: (x: -510, y: -1200)
  00:34:432: (x: -519, y: -1182)
  00:34:503: (x: -519, y: -1182)
  00:34:747: (x: -519, y: -1182)
  00:35:069: (x: -561, y: -1080)
  00:35:123: (x: -561, y: -1080)
  00:35:383: (x: -607, y: -986)
  00:35:431: (x: -607, y: -986)
  00:35:704: (x: -548, y: -924)
  00:35:753: (x: -548, y: -924)
  00:36:012: (x: -548, y: -924)
  00:36:326: (x: -510, y: -956)
  00:36:365: (x: -510, y: -956)
  00:36:632: (x: -501, y: -1045)
  00:36:672: (x: -501, y: -1045)
  00:36:952: (x: -501, y: -1045)
  00:36:983: (x: -501, y: -1045)
  00:37:269: (x: -582, y: -1058)
  00:37:301: (x: -582, y: -1058)
  00:37:578: (x: -581, y: -966)
  00:37:609: (x: -581, y: -966)
  00:37:903: (x: -597, y: -967)
  00:37:924: (x: -597, y: -967)
  00:38:212: (x: -597, y: -967)
  00:38:231: (x: -597, y: -967)
  00:38:522: (x: -597, y: -1055)
  00:38:545: (x: -597, y: -1055)
  00:38:832: (x: -610, y: -1013)
  00:38:856: (x: -610, y: -1013)
  00:39:148: (x: -610, y: -1013)
  00:39:162: (x: -610, y: -1013)
  00:39:462: (x: -582, y: -1017)
  00:39:470: (x: -582, y: -1017)
  00:39:772: (x: -567, y: -1094)
  00:39:777: (x: -567, y: -1094)
  00:40:091: (x: -567, y: -1094)
  00:40:352: (x: -484, y: -1076)
  00:40:398: (x: -484, y: -1076)
  00:40:664: (x: -555, y: -1083)
  00:40:710: (x: -555, y: -1083)
  00:40:984: (x: -555, y: -1083)
  00:41:018: (x: -555, y: -1083)
  00:41:302: (x: -647, y: -1048)
  00:41:329: (x: -647, y: -1048)
  00:41:611: (x: -608, y: -1008)
  00:41:650: (x: -608, y: -1008)
  00:41:922: (x: -608, y: -1008)
  00:41:962: (x: -537, y: -1012)
  00:42:243: (x: -537, y: -1012)
  00:42:269: (x: -537, y: -1012)
  00:42:562: (x: -537, y: -1012)
  00:42:588: (x: -537, y: -1012)
  00:42:877: (x: -487, y: -1112)
  00:42:902: (x: -487, y: -1112)
  00:43:188: (x: -487, y: -1112)
  00:43:218: (x: -487, y: -1112)
  00:43:503: (x: -502, y: -1154)
  00:43:523: (x: -502, y: -1154)
  00:43:812: (x: -572, y: -1068)
  00:43:835: (x: -572, y: -1068)
  00:44:125: (x: -572, y: -1068)
  00:44:156: (x: -572, y: -1068)
  00:44:437: (x: -620, y: -1074)
  00:44:470: (x: -620, y: -1074)
  00:44:744: (x: -479, y: -1180)
  00:44:775: (x: -479, y: -1180)
  00:45:067: (x: -539, y: -1104)
  00:45:082: (x: -539, y: -1104)
  00:45:377: (x: -539, y: -1104)
  00:45:391: (x: -539, y: -1104)
  00:45:698: (x: -466, y: -1178)
  00:45:703: (x: -466, y: -1178)
  00:46:013: (x: -556, y: -1114)
  00:46:268: (x: -556, y: -1114)
  00:46:336: (x: -556, y: -1114)
  00:46:576: (x: -661, y: -1021)
  00:46:653: (x: -661, y: -1021)
  00:46:893: (x: -497, y: -1164)
  00:46:959: (x: -497, y: -1164)
  00:47:198: (x: -497, y: -1164)
  00:47:278: (x: -497, y: -1164)
  00:47:517: (x: -513, y: -1150)
