Player Ali:
(coordinates recorded in cm precision)
  00:11:960: (x: -22, y: -915)
  00:12:212: (x: -22, y: -915)
  00:12:266: (x: -22, y: -915)
  00:12:531: (x: -22, y: -915)
  00:12:591: (x: -22, y: -915)
  00:12:848: (x: -22, y: -915)
  00:12:897: (x: -22, y: -915)
  00:13:165: (x: -22, y: -915)
  00:13:205: (x: -22, y: -915)
  00:13:475: (x: -22, y: -915)
  00:13:515: (x: -22, y: -915)
  00:13:783: (x: -22, y: -915)
  00:13:822: (x: -22, y: -915)
  00:14:089: (x: -22, y: -915)
  00:14:132: (x: -22, y: -915)
  00:14:399: (x: -22, y: -915)
