Player Ali:
(coordinates recorded in cm precision)
  00:00:340: (x: 963, y: 198)
  00:16:328: (x: 659, y: -83)
  00:16:959: (x: 778, y: 121)
  00:17:226: (x: 1091, y: 479)
  00:17:298: (x: 1091, y: 479)
  00:17:924: (x: 1010, y: 360)
  00:18:168: (x: 1020, y: 397)
  00:18:488: (x: 1056, y: 329)
  00:18:569: (x: 1056, y: 329)
  00:19:207: (x: 1049, y: 360)
  00:19:465: (x: 979, y: 420)
  00:19:527: (x: 979, y: 420)
  00:20:159: (x: 1086, y: 342)
  00:20:404: (x: 1025, y: 408)
  00:20:501: (x: 1082, y: 446)
  00:21:124: (x: 984, y: 409)
  00:21:388: (x: 964, y: 395)
  00:21:462: (x: 964, y: 395)
  00:22:084: (x: 966, y: 309)
  00:22:343: (x: 988, y: 367)
  00:22:667: (x: 881, y: 394)
  00:22:726: (x: 881, y: 394)
  00:23:358: (x: 982, y: 382)
  00:23:607: (x: 967, y: 359)
  00:23:691: (x: 967, y: 359)
  00:24:317: (x: 884, y: 268)
  00:24:572: (x: 965, y: 363)

Player Ahmed:
(coordinates recorded in cm precision)
  00:00:340: (x: 636, y: -1531)
  00:00:954: (x: 584, y: -1520)
  00:01:216: (x: 428, y: -1535)
  00:01:289: (x: 538, y: -1485)
  00:01:926: (x: 471, y: -1282)
  00:02:172: (x: 670, y: -1500)
  00:02:261: (x: 670, y: -1500)
  00:02:880: (x: 667, y: -1534)
  00:03:141: (x: 737, y: -1488)
  00:03:208: (x: 737, y: -1488)
  00:03:849: (x: 584, y: -1544)
  00:04:110: (x: 582, y: -1539)
  00:04:174: (x: 582, y: -1539)
  00:04:808: (x: 612, y: -1509)
  00:05:055: (x: 616, y: -1507)
  00:05:128: (x: 587, y: -1481)
  00:05:758: (x: 463, y: -1573)
  00:06:019: (x: 80, y: -1341)
  00:06:093: (x: 80, y: -1341)
  00:06:725: (x: 201, y: -1046)
  00:06:981: (x: 153, y: -974)
  00:07:052: (x: 153, y: -974)
  00:07:695: (x: -281, y: -819)
  00:07:948: (x: -70, y: -645)
  00:08:009: (x: 145, y: -586)
  00:08:637: (x: 69, y: -316)
  00:08:904: (x: -45, y: 185)
  00:08:974: (x: -45, y: 185)
  00:09:610: (x: -260, y: 694)
  00:09:864: (x: 20, y: 985)
  00:09:930: (x: 20, y: 985)
  00:10:569: (x: 484, y: 1366)
  00:10:828: (x: 391, y: 1321)
  00:10:890: (x: 347, y: 1276)
  00:11:532: (x: 484, y: 1273)
  00:11:778: (x: 337, y: 1060)
  00:11:860: (x: 524, y: 1278)
  00:12:493: (x: 452, y: 1260)
  00:12:737: (x: 489, y: 1290)
  00:12:817: (x: 489, y: 1290)
  00:13:434: (x: 516, y: 1275)
  00:13:699: (x: 432, y: 1262)
  00:13:771: (x: 432, y: 1262)
  00:14:419: (x: 416, y: 1243)
  00:14:653: (x: 510, y: 1275)
  00:14:731: (x: 500, y: 1255)
  00:15:361: (x: 497, y: 1287)
  00:15:612: (x: 544, y: 1275)
  00:15:697: (x: 458, y: 1268)
  00:16:326: (x: 435, y: 1307)
  00:16:574: (x: 473, y: 1309)
  00:16:662: (x: 473, y: 1309)
  00:17:280: (x: 471, y: 1239)
  00:17:542: (x: 539, y: 1340)
  00:17:607: (x: 539, y: 1340)
  00:18:244: (x: 443, y: 1227)
  00:18:513: (x: 509, y: 1280)
  00:18:577: (x: 494, y: 1278)
  00:19:210: (x: 499, y: 1334)
  00:19:475: (x: 539, y: 1093)
  00:19:531: (x: 539, y: 1093)
  00:20:172: (x: 470, y: 1331)
  00:20:418: (x: 380, y: 1191)
  00:20:494: (x: 380, y: 1191)
  00:21:134: (x: 560, y: 1372)
  00:21:385: (x: 526, y: 1295)
  00:21:463: (x: 484, y: 1376)
  00:22:081: (x: 442, y: 1355)
  00:22:342: (x: 446, y: 1302)
  00:22:412: (x: 520, y: 1362)
  00:23:044: (x: 423, y: 1286)
  00:23:301: (x: 472, y: 1291)
  00:23:377: (x: 472, y: 1291)
  00:24:006: (x: 480, y: 1340)
  00:24:254: (x: 466, y: 1294)
  00:24:337: (x: 466, y: 1294)
  00:24:976: (x: 406, y: 1171)
  00:25:219: (x: 416, y: 1256)
  00:25:291: (x: 439, y: 1252)
  00:25:927: (x: 434, y: 1228)
  00:26:179: (x: 466, y: 1309)
  00:26:260: (x: 466, y: 1309)
  00:26:893: (x: 497, y: 1271)
  00:27:142: (x: 489, y: 1413)
  00:27:218: (x: 489, y: 1413)
  00:27:843: (x: 524, y: 1329)
  00:28:092: (x: 433, y: 1328)
  00:28:177: (x: 436, y: 1369)
  00:28:804: (x: 463, y: 1266)
  00:29:050: (x: 466, y: 1294)
  00:29:138: (x: 459, y: 1352)
  00:29:763: (x: 470, y: 1329)
  00:30:014: (x: 430, y: 1286)
  00:30:095: (x: 430, y: 1286)
  00:30:727: (x: 503, y: 1291)
  00:30:985: (x: 453, y: 1264)
  00:31:051: (x: 453, y: 1264)
  00:31:688: (x: 451, y: 1303)
  00:31:941: (x: 521, y: 1319)
  00:32:019: (x: 481, y: 1286)
  00:32:643: (x: 454, y: 1240)
  00:32:911: (x: 447, y: 1237)
  00:32:976: (x: 447, y: 1237)
  00:33:593: (x: 452, y: 1251)
  00:33:856: (x: 457, y: 1277)
  00:33:935: (x: 457, y: 1277)
  00:34:559: (x: 455, y: 1278)
  00:34:808: (x: 430, y: 1234)
  00:34:902: (x: 419, y: 1281)
  00:35:526: (x: 418, y: 1240)
  00:35:784: (x: 535, y: 1314)
  00:35:859: (x: 535, y: 1314)
  00:36:485: (x: 440, y: 1264)
  00:36:740: (x: 466, y: 1294)
  00:36:821: (x: 475, y: 1306)
  00:37:445: (x: 433, y: 1328)
  00:37:704: (x: 426, y: 1354)
  00:37:780: (x: 442, y: 1350)
  00:38:398: (x: 477, y: 1310)
  00:38:667: (x: 429, y: 1313)
  00:38:743: (x: 429, y: 1313)
  00:39:369: (x: 458, y: 1374)
  00:39:619: (x: 489, y: 1361)
  00:39:690: (x: 489, y: 1361)
  00:40:330: (x: 435, y: 1142)
  00:40:585: (x: 395, y: 1319)
  00:40:658: (x: 546, y: 1189)
  00:41:278: (x: 527, y: 1169)
  00:00:574: (x: 431, y: 1268)
  00:00:646: (x: 431, y: 1268)
  00:01:276: (x: 488, y: 1316)
  00:01:524: (x: 464, y: 1251)
  00:01:609: (x: 467, y: 1292)
  00:00:649: (x: 478, y: 1265)
  00:00:898: (x: 421, y: 1285)
  00:00:969: (x: 458, y: 1264)
  00:01:599: (x: 425, y: 1308)
  00:00:642: (x: 520, y: 1291)
  00:00:914: (x: 450, y: 1320)
  00:00:969: (x: 450, y: 1320)
  00:01:602: (x: 487, y: 1337)
  00:01:861: (x: 524, y: 1355)
  00:01:935: (x: 525, y: 1332)
  00:00:632: (x: 467, y: 1279)
  00:00:884: (x: 529, y: 1316)
  00:00:973: (x: 464, y: 1279)
  00:01:601: (x: 423, y: 1233)
  00:01:840: (x: 535, y: 1329)
  00:01:933: (x: 535, y: 1329)
  00:02:558: (x: 513, y: 1315)
  00:02:814: (x: 451, y: 1311)
  00:02:894: (x: 451, y: 1311)
  00:03:524: (x: 484, y: 1345)
  00:03:775: (x: 467, y: 1302)
  00:03:854: (x: 462, y: 1272)
  00:04:489: (x: 460, y: 1274)
  00:04:747: (x: 485, y: 1344)
  00:04:807: (x: 485, y: 1344)
  00:05:455: (x: 428, y: 1298)
  00:05:695: (x: 487, y: 1348)
  00:05:769: (x: 487, y: 1348)
  00:06:398: (x: 534, y: 1321)
  00:06:651: (x: 498, y: 1249)
  00:06:738: (x: 488, y: 1278)
  00:07:363: (x: 408, y: 1198)
  00:07:615: (x: 482, y: 1235)
  00:07:690: (x: 473, y: 1217)
  00:08:322: (x: 444, y: 1327)
  00:08:577: (x: 466, y: 1294)
  00:08:655: (x: 466, y: 1294)
  00:09:284: (x: 434, y: 1305)
  00:09:535: (x: 505, y: 1402)
  00:09:608: (x: 505, y: 1402)
  00:10:242: (x: 487, y: 1437)
  00:10:484: (x: 478, y: 1411)
  00:10:568: (x: 466, y: 1414)
  00:11:211: (x: 476, y: 1272)
  00:11:471: (x: 503, y: 1289)
  00:11:535: (x: 503, y: 1289)
  00:12:166: (x: 499, y: 1243)
  00:12:423: (x: 454, y: 1240)
  00:12:490: (x: 454, y: 1240)
  00:13:129: (x: 550, y: 1271)
  00:13:370: (x: 472, y: 1321)
  00:13:447: (x: 472, y: 1321)
  00:14:082: (x: 428, y: 1269)
  00:14:327: (x: 471, y: 1260)
  00:14:419: (x: 506, y: 1345)
  00:15:049: (x: 457, y: 1277)
  00:15:303: (x: 454, y: 1317)
  00:15:370: (x: 454, y: 1317)
  00:16:003: (x: 429, y: 1232)
  00:16:252: (x: 454, y: 1219)
  00:16:328: (x: 454, y: 1219)
  00:16:959: (x: 448, y: 1317)
  00:17:226: (x: 486, y: 1284)
  00:17:298: (x: 530, y: 1195)
  00:17:924: (x: 547, y: 1120)
  00:18:168: (x: 479, y: 1224)
  00:18:488: (x: 437, y: 1152)
  00:18:569: (x: 448, y: 1288)
  00:19:207: (x: 487, y: 1254)
  00:19:465: (x: 509, y: 1158)
  00:19:527: (x: 509, y: 1158)
  00:20:159: (x: 544, y: 1121)
  00:20:404: (x: 511, y: 1138)
  00:20:501: (x: 498, y: 1194)
  00:21:124: (x: 411, y: 1228)
  00:21:388: (x: 427, y: 1180)
  00:21:462: (x: 536, y: 1214)
  00:22:084: (x: 510, y: 1291)
  00:22:343: (x: 502, y: 1187)
  00:22:667: (x: 487, y: 1206)
  00:22:726: (x: 519, y: 1310)
  00:23:358: (x: 481, y: 1258)
  00:23:607: (x: 506, y: 1164)
  00:23:691: (x: 506, y: 1164)
  00:24:317: (x: 466, y: 1151)
  00:24:572: (x: 487, y: 1189)
